chr	start	end	BS	BS.norm	boundary	TADid	TAD
II	660000	669999	2.948	-0.7968	0	1	1
II	670000	679999	3.042	-0.7034	0	1	1
II	680000	689999	3.1	-0.6447	0	1	1
II	690000	699999	3.038	-0.7073	0	1	1
II	700000	709999	3.028	-0.7168	0	1	1
II	710000	719999	2.966	-0.7787	0	1	1
II	720000	729999	3.272	-0.4731	0	1	1
II	730000	739999	3.423	-0.3222	0	1	1
II	740000	749999	3.722	-0.02255	0	1	1
II	750000	759999	4.033	0.2884	0	1	1
II	760000	769999	4.657	0.912	0	1	1
II	770000	779999	5.819	2.074	0	1	1
II	780000	789999	8.475	4.73	0	1	1
II	790000	799999	18.09	6.603	1	1.5	0
II	800000	809999	18.07	6.603	0	2	1
II	810000	819999	8.759	5.014	0	2	1
II	820000	829999	5.564	1.819	0	2	1
II	830000	839999	4.409	0.6638	0	2	1
II	840000	849999	3.939	0.1942	0	2	1
II	850000	859999	3.635	-0.1096	0	2	1
II	860000	869999	3.344	-0.4011	0	2	1
II	870000	879999	3.162	-0.5827	0	2	1
II	880000	889999	2.959	-0.786	0	2	1
II	890000	899999	2.876	-0.8694	0	2	1
II	900000	909999	2.906	-0.8389	0	2	1
II	910000	919999	2.882	-0.8635	0	2	1
II	920000	929999	2.805	-0.9401	0	2	1
II	930000	939999	2.856	-0.8887	0	2	1
II	940000	949999	2.767	-0.9776	0	2	1
II	950000	959999	2.908	-0.837	0	2	1
II	960000	969999	2.998	-0.7474	0	2	1
II	970000	979999	2.942	-0.8035	0	2	1
II	980000	989999	2.893	-0.8522	0	2	1
II	990000	999999	2.822	-0.9226	0	2	1
II	1000000	1009999	2.773	-0.9719	0	2	1
II	1010000	1019999	2.714	-1.031	0	2	1
II	1020000	1029999	2.805	-0.94	0	2	1
II	1030000	1039999	3.072	-0.6728	0	2	1
II	1040000	1049999	3.065	-0.6796	0	2	1
II	1050000	1059999	3.133	-0.6124	0	2	1
II	1060000	1069999	2.992	-0.7529	0	2	1
II	1070000	1079999	3.043	-0.7022	0	2	1
II	1080000	1089999	3.108	-0.6366	0	2	1
II	1090000	1099999	3.044	-0.7006	0	2	1
II	1100000	1109999	NA	0	0	2	1
II	1110000	1119999	NA	0	0	2	1
II	1120000	1129999	NA	0	0	2	1
II	1130000	1139999	NA	0	0	2	1
II	1140000	1149999	NA	0	0	2	1
II	1150000	1159999	NA	0	0	2	1
II	1160000	1169999	NA	0	0	2	1
II	1170000	1179999	NA	0	0	2	1
II	1180000	1189999	NA	0	0	2	1
II	1190000	1199999	NA	0	0	2	1
