bin	chr	start	end
563	II	940500	940749
564	II	940750	940999
565	II	941000	941249
566	II	941250	941499
567	II	941500	941749
568	II	941750	941999
569	II	942000	942249
570	II	942250	942499
571	II	942500	942749
572	II	942750	942999
573	II	943000	943249
574	II	943250	943499
575	II	943500	943749
576	II	943750	943999
577	II	944000	944249
578	II	944250	944499
579	II	944500	944749
580	II	944750	944999
581	II	945000	945249
582	II	945250	945499
583	II	945500	945749
584	II	945750	945999
585	II	946000	946249
586	II	946250	946499
587	II	946500	946749
588	II	946750	946999
589	II	947000	947249
590	II	947250	947499
591	II	947500	947749
592	II	947750	947999
593	II	948000	948249
594	II	948250	948499
595	II	948500	948749
596	II	948750	948999
597	II	949000	949249
598	II	949250	949499
599	II	949500	949749
600	II	949750	949999
